
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=864
  Tier 2 [top->bottom] init_w=72.00 mul=12.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=864
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=864
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=864
  Tier 2 [left->right] init_w=216.00 mul=16.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-10 rot90=0 weight=3456
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=18 center=(135, 41) dx=1 dy=0 rot90=0 weight=3456
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=66 center=(192.5, 30.5) dx=1 dy=0 rot90=0 weight=3456
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=3456
  Tier 2 [right->left] init_w=216.00 mul=16.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=0 rot90=0 weight=3456
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=18 center=(134, 41) dx=-1 dy=0 rot90=0 weight=3456
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=3456
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=3456
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=3456
  Tier 2 [bottom->top] init_w=648.00 mul=16.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-10 rot90=0 weight=10368
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=10368
  Tier 2 [top->bottom] init_w=648.00 mul=16.00 side_bias=0.00(axis=2)
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=42 center=(50, 63.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=92 center=(94, 57) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=10368
    [move_apply] module_id=69 center=(83, 23.5) dx=-1 dy=10 rot90=0 weight=10368
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=10368
  Tier 2 [shake rotations]
    [shake_rot] module_id=69 new_size=(27x54) center=(83, 27)
  Tier 2 [iter=3] shake rotated=1 modules
  Tier 2 [iter=4] running sweeps (h-first)
  Tier 2 [near->far] init_w=16.00 mul=10.00 side_bias=0.00(axis=0)
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=92 center=(102, 53.5) dx=8 dy=-3.5 rot90=1 weight=160
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=42 center=(43.5, 59) dx=-6.5 dy=-4.5 rot90=1 weight=160
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=69 center=(83, 14.5) dx=0 dy=-12.5 rot90=1 weight=160
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=160
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=160
  Tier 2 [left->right] init_w=48.00 mul=10.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=42 center=(43.5, 59) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-1 rot90=0 weight=480
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=92 center=(102, 53.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=18 center=(135, 41) dx=1 dy=0 rot90=0 weight=480
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=66 center=(192.5, 30.5) dx=1 dy=0 rot90=0 weight=480
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=480
  Tier 2 [right->left] init_w=48.00 mul=10.00 side_bias=0.00(axis=1)
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=7 center=(227, 248) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=66 center=(191.5, 30.5) dx=-1 dy=0 rot90=0 weight=480
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=58 center=(184, 247.975) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=18 center=(134, 41) dx=-1 dy=0 rot90=0 weight=480
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=69 center=(83, 14.5) dx=-1 dy=1 rot90=0 weight=480
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=52 center=(84, 245.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=92 center=(102, 53.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=42 center=(43.5, 59) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=74 center=(25.5667, 247) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=480
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=480
  Tier 2 [bottom->top] init_w=144.00 mul=15.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=14 center=(246.5, 31.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=48 center=(28.5, 13.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=66 center=(191.5, 30.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=69 center=(84, 13.5) dx=1 dy=-1 rot90=0 weight=2160
    [move_apply] module_id=18 center=(134, 41) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=42 center=(43.5, 59) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=56 center=(8.5, 64.1197) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=92 center=(102, 53.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=94 center=(231.42, 83.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=39 center=(113.42, 92.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=12 center=(171.42, 81) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=89 center=(69.5, 109) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=29 center=(184, 126) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=4 center=(14.5, 105.12) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=9 center=(238.5, 112) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=65 center=(28, 143.12) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=76 center=(207, 132.211) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=22 center=(147.5, 135.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=13 center=(244, 148.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=11 center=(85.5, 147.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=81 center=(135, 181) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=47 center=(187.5, 175.319) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=64 center=(86, 199.5) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=43 center=(30.5, 200) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=2 center=(188.5, 208.819) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=32 center=(241.5, 213.319) dx=0 dy=0 rot90=0 weight=2160
    [move_apply] module_id=8 center=(136, 237) dx=0 dy=0 rot90=0 weight=2160
